user,created,karma,submitted
drelihan,1337026566.0,73.0,53.0
drewg123,1362521256.0,3057.0,390.0
drewjaja,1345641197.0,516.0,147.0
drinchev,1317708219.0,2798.0,815.0
drudru11,1192473339.0,583.0,256.0
drumhead,1355517181.0,11.0,13.0
drusepth,1307729709.0,355.0,185.0
drvortex,1381830784.0,65.0,96.0
dschnurr,1320709471.0,104.0,10.0
dschuetz,1467379928.0,48.0,61.0
dsfjksdf,1502188022.0,38.0,31.0
dshankar,1287458343.0,6322.0,413.0
dsigurds,1499267218.0,1.0,2.0
dsschnau,1351864081.0,134.0,152.0
dstaheli,1405599876.0,881.0,170.0
dswalter,1435783500.0,164.0,55.0
dtnewman,1427589548.0,583.0,105.0
duggalr2,1454453311.0,1.0,4.0
dummy323,1494455242.0,1.0,1.0
duopixel,1271800125.0,2026.0,265.0
durfdurf,1487667520.0,0.0,4.0
dveeden2,1388568242.0,119.0,20.0
dvnguyen,1477789219.0,123.0,17.0
dwaltrip,1371617011.0,1979.0,1180.0
dwheeler,1383235058.0,181.0,59.0
dwighttk,1432670384.0,117.0,127.0
dwils098,1404840986.0,7.0,15.0
dwolfand,1464028546.0,6.0,21.0
dyarosla,1364847679.0,844.0,229.0
eDameXxX,1452203058.0,362.0,84.0
eabraham,1316445366.0,22.0,23.0
eappleby,1387421393.0,36.0,25.0
eatitraw,1328444535.0,1078.0,224.0
eberkund,1464537118.0,385.0,157.0
ebiester,1252942393.0,3343.0,1225.0
ebrewste,1413614270.0,108.0,24.0
ec109685,1382168286.0,806.0,542.0
echlebek,1429347630.0,321.0,133.0
econnors,1315524682.0,417.0,68.0
ed_balls,1489534614.0,66.0,59.0
edcoffin,1487101043.0,3.0,3.0
eddanger,1287443680.0,207.0,63.0
eddotman,1370215986.0,68.0,22.0
edison85,1501639469.0,96.0,22.0
edraferi,1359720750.0,1023.0,353.0
edwinyzh,1332439423.0,149.0,205.0
eeZah7Ux,1468782359.0,1515.0,612.0
egberts1,1430851295.0,15.0,37.0
egeozcan,1336594812.0,2120.0,925.0
eggbrain,1287768941.0,2104.0,288.0
ehsankia,1482190707.0,1082.0,299.0
eibrahim,1205250119.0,992.0,484.0
eire1130,1389978447.0,28.0,8.0
eivindga,1409562558.0,9.0,6.0
ejholmes,1365025939.0,187.0,48.0
ejlangev,1374551286.0,288.0,51.0
elcritch,1435474826.0,323.0,252.0
eldavido,1277443489.0,2245.0,535.0
elfchief,1434124669.0,264.0,38.0
elgeeko1,1454271301.0,4.0,3.0
elliotec,1390457513.0,1247.0,466.0
elliotmr,1499977033.0,66.0,3.0
elnygren,1422255653.0,370.0,71.0
eloisant,1330102676.0,2232.0,646.0
emanreus,1489915389.0,48.0,34.0
emehrkay,1183586152.0,1774.0,975.0
emeraldd,1301719672.0,1134.0,425.0
emerongi,1379682873.0,526.0,205.0
emirozer,1380090792.0,354.0,82.0
empath75,1436807304.0,7470.0,1727.0
emrosenf,1235594552.0,14.0,13.0
enalicho,1368608015.0,39.0,32.0
endymi0n,1308247082.0,2919.0,418.0
engulfme,1443826730.0,16.0,4.0
enibundo,1360506545.0,65.0,56.0
enitihas,1439055961.0,171.0,71.0
