user_id,age,sex,occupation,zip_code
0,1,24,M,technician,85711
1,2,53,F,other,94043
2,3,23,M,writer,32067
3,4,24,M,technician,43537
4,5,33,F,other,15213
5,6,42,M,executive,98101
6,7,57,M,administrator,91344
7,8,36,M,administrator,05201
8,9,29,M,student,01002
9,10,53,M,lawyer,90703
10,11,39,F,other,30329
11,12,28,F,other,06405
12,13,47,M,educator,29206
13,14,45,M,scientist,55106
14,15,49,F,educator,97301
15,16,21,M,entertainment,10309
16,17,30,M,programmer,06355
17,18,35,F,other,37212
18,19,40,M,librarian,02138
19,20,42,F,homemaker,95660
20,21,26,M,writer,30068
21,22,25,M,writer,40206
22,23,30,F,artist,48197
23,24,21,F,artist,94533
24,25,39,M,engineer,55107
25,26,49,M,engineer,21044
26,27,40,F,librarian,30030
27,28,32,M,writer,55369
28,29,41,M,programmer,94043
29,30,7,M,student,55436
30,31,24,M,artist,10003
31,32,28,F,student,78741
32,33,23,M,student,27510
33,34,38,F,administrator,42141
34,35,20,F,homemaker,42459
35,36,19,F,student,93117
36,37,23,M,student,55105
37,38,28,F,other,54467
38,39,41,M,entertainment,01040
39,40,38,M,scientist,27514
40,41,33,M,engineer,80525
41,42,30,M,administrator,17870
42,43,29,F,librarian,20854
43,44,26,M,technician,46260
44,45,29,M,programmer,50233
45,46,27,F,marketing,46538
46,47,53,M,marketing,07102
47,48,45,M,administrator,12550
48,49,23,F,student,76111
49,50,21,M,writer,52245
50,51,28,M,educator,16509
51,52,18,F,student,55105
52,53,26,M,programmer,55414
53,54,22,M,executive,66315
54,55,37,M,programmer,01331
55,56,25,M,librarian,46260
56,57,16,M,none,84010
57,58,27,M,programmer,52246
58,59,49,M,educator,08403
59,60,50,M,healthcare,06472
60,61,36,M,engineer,30040
61,62,27,F,administrator,97214
62,63,31,M,marketing,75240
63,64,32,M,educator,43202
64,65,51,F,educator,48118
65,66,23,M,student,80521
66,67,17,M,student,60402
67,68,19,M,student,22904
68,69,24,M,engineer,55337
69,70,27,M,engineer,60067
70,71,39,M,scientist,98034
71,72,48,F,administrator,73034
72,73,24,M,student,41850
73,74,39,M,scientist,T8H1N
74,75,24,M,entertainment,08816
75,76,20,M,student,02215
76,77,30,M,technician,29379
77,78,26,M,administrator,61801
78,79,39,F,administrator,03755
79,80,34,F,administrator,52241
80,81,21,M,student,21218
81,82,50,M,programmer,22902
82,83,40,M,other,44133
83,84,32,M,executive,55369
84,85,51,M,educator,20003
85,86,26,M,administrator,46005
86,87,47,M,administrator,89503
87,88,49,F,librarian,11701
88,89,43,F,administrator,68106
89,90,60,M,educator,78155
90,91,55,M,marketing,01913
91,92,32,M,entertainment,80525
92,93,48,M,executive,23112
93,94,26,M,student,71457
94,95,31,M,administrator,10707
95,96,25,F,artist,75206
96,97,43,M,artist,98006
97,98,49,F,executive,90291
98,99,20,M,student,63129
99,100,36,M,executive,90254
100,101,15,M,student,05146
101,102,38,M,programmer,30220
102,103,26,M,student,55108
103,104,27,M,student,55108
104,105,24,M,engineer,94043
105,106,61,M,retired,55125
106,107,39,M,scientist,60466
107,108,44,M,educator,63130
108,109,29,M,other,55423
109,110,19,M,student,77840
