"Person","item"
1,"citrus fruit"
1,"semi-finished bread"
1,"margarine"
1,"ready soups"
2,"tropical fruit"
2,"yogurt"
2,"coffee"
3,"whole milk"
4,"pip fruit"
4,"yogurt"
4,"cream cheese "
4,"meat spreads"
5,"other vegetables"
5,"whole milk"
5,"condensed milk"
5,"long life bakery product"
6,"whole milk"
6,"butter"
6,"yogurt"
6,"rice"
6,"abrasive cleaner"
7,"rolls/buns"
8,"other vegetables"
8,"UHT-milk"
8,"rolls/buns"
8,"bottled beer"
8,"liquor (appetizer)"
9,"pot plants"
10,"whole milk"
10,"cereals"
11,"tropical fruit"
11,"other vegetables"
11,"white bread"
11,"bottled water"
11,"chocolate"
12,"citrus fruit"
12,"tropical fruit"
12,"whole milk"
12,"butter"
12,"curd"
12,"yogurt"
12,"flour"
12,"bottled water"
12,"dishes"
13,"beef"
14,"frankfurter"
14,"rolls/buns"
14,"soda"
15,"chicken"
15,"tropical fruit"
16,"butter"
16,"sugar"
16,"fruit/vegetable juice"
16,"newspapers"
17,"fruit/vegetable juice"
18,"packaged fruit/vegetables"
19,"chocolate"
20,"specialty bar"
21,"other vegetables"
22,"butter milk"
22,"pastry"
23,"whole milk"
24,"tropical fruit"
24,"cream cheese "
24,"processed cheese"
24,"detergent"
24,"newspapers"
25,"tropical fruit"
25,"root vegetables"
25,"other vegetables"
25,"frozen dessert"
25,"rolls/buns"
25,"flour"
25,"sweet spreads"
25,"salty snack"
25,"waffles"
25,"candy"
25,"bathroom cleaner"
26,"bottled water"
26,"canned beer"
27,"yogurt"
28,"sausage"
28,"rolls/buns"
28,"soda"
28,"chocolate"
29,"other vegetables"
30,"brown bread"
30,"soda"
30,"fruit/vegetable juice"
30,"canned beer"
30,"newspapers"
30,"shopping bags"
31,"yogurt"
31,"beverages"
31,"bottled water"
31,"specialty bar"
32,"hamburger meat"
32,"other vegetables"
32,"rolls/buns"
32,"spices"
32,"bottled water"
32,"hygiene articles"
32,"napkins"
33,"root vegetables"
33,"other vegetables"
33,"whole milk"
33,"beverages"
33,"sugar"
34,"pork"
34,"berries"
34,"other vegetables"
34,"whole milk"
34,"whipped/sour cream"
34,"artif. sweetener"
34,"soda"
34,"abrasive cleaner"
35,"beef"
35,"grapes"
35,"detergent"
36,"pastry"
36,"soda"
37,"fruit/vegetable juice"
38,"canned beer"
39,"root vegetables"
39,"other vegetables"
39,"whole milk"
39,"dessert"
40,"citrus fruit"
40,"zwieback"
40,"newspapers"
41,"sausage"
41,"rolls/buns"
41,"soda"
41,"canned beer"
41,"specialty bar"
41,"shopping bags"
42,"tropical fruit"
42,"root vegetables"
42,"whole milk"
42,"yogurt"
42,"domestic eggs"
42,"brown bread"
42,"pastry"
42,"sugar"
42,"cereals"
42,"coffee"
42,"soda"
42,"waffles"
42,"candy"
43,"berries"
43,"yogurt"
44,"canned beer"
45,"butter milk"
45,"yogurt"
45,"cream cheese "
45,"spread cheese"
45,"rolls/buns"
45,"bottled water"
45,"soda"
45,"newspapers"
46,"coffee"
47,"pastry"
47,"bottled water"
48,"rolls/buns"
49,"misc. beverages"
50,"root vegetables"
50,"other vegetables"
50,"butter"
50,"curd"
50,"whipped/sour cream"
50,"UHT-milk"
50,"hard cheese"
50,"rolls/buns"
50,"bottled water"
50,"long life bakery product"
51,"sausage"
51,"rolls/buns"
51,"cat food"
51,"newspapers"
52,"canned beer"
53,"ham"
53,"grapes"
53,"other vegetables"
53,"whole milk"
54,"turkey"
54,"tropical fruit"
54,"other vegetables"
54,"curd"
54,"domestic eggs"
54,"brown bread"
54,"semi-finished bread"
54,"margarine"
54,"baking powder"
54,"fruit/vegetable juice"
55,"whole milk"
55,"yogurt"
55,"processed cheese"
55,"pickled vegetables"
55,"soda"
56,"whole milk"
56,"curd"
56,"yogurt"
56,"pastry"
57,"packaged fruit/vegetables"
57,"brown bread"
57,"canned beer"
58,"rolls/buns"
58,"oil"
58,"bottled water"
58,"chewing gum"
58,"chocolate marshmallow"
58,"hygiene articles"
58,"napkins"
59,"ham"
59,"beef"
59,"whipped/sour cream"
59,"ice cream"
59,"rolls/buns"
59,"cat food"
60,"rolls/buns"
60,"pastry"
60,"sugar"
61,"other vegetables"
61,"whole milk"
61,"frozen vegetables"
61,"canned fish"
61,"salty snack"
61,"seasonal products"
61,"detergent"
62,"sausage"
62,"pastry"
63,"sausage"
63,"beef"
63,"whole milk"
64,"frankfurter"
64,"tropical fruit"
64,"rolls/buns"
64,"brown bread"
64,"sugar"
65,"rolls/buns"
65,"pastry"
65,"soda"
66,"whole milk"
67,"curd cheese"
67,"coffee"
68,"red/blush wine"
68,"newspapers"
69,"sausage"
69,"whole milk"
69,"curd"
70,"tropical fruit"
70,"pip fruit"
70,"berries"
70,"whole milk"
70,"frozen potato products"
70,"rolls/buns"
70,"pickled vegetables"
70,"chocolate"
71,"red/blush wine"
72,"whole milk"
72,"butter"
72,"margarine"
72,"specialty fat"
72,"specialty chocolate"
72,"candles"
72,"flower (seeds)"
73,"frankfurter"
73,"citrus fruit"
73,"whole milk"
73,"domestic eggs"
73,"oil"
73,"sparkling wine"
73,"specialty chocolate"
73,"newspapers"
74,"whole milk"
74,"meat spreads"
74,"soda"
75,"frozen potato products"
76,"other vegetables"
76,"whole milk"
76,"rolls/buns"
76,"sugar"
77,"citrus fruit"
77,"whole milk"
77,"curd"
77,"butter milk"
77,"pastry"
78,"flour"
78,"salt"
78,"bottled water"
78,"fruit/vegetable juice"
78,"bottled beer"
79,"sugar"
79,"bottled water"
79,"soda"
79,"bottled beer"
80,"frozen meals"
80,"coffee"
81,"chocolate"
82,"root vegetables"
82,"whole milk"
82,"frozen vegetables"
82,"domestic eggs"
82,"rolls/buns"
82,"oil"
82,"margarine"
82,"canned vegetables"
82,"fruit/vegetable juice"
82,"bathroom cleaner"
83,"root vegetables"
83,"onions"
83,"hard cheese"
83,"frozen vegetables"
84,"herbs"
84,"condensed milk"
84,"frozen vegetables"
84,"salt"
84,"oil"
84,"white wine"
84,"candles"
85,"bottled water"
