story,title,score,user
14274033,"Uber is valued at $70B, you can get it at $999",503,appoets
14107522,Jeff Bezos? Annual Letter,547,djyaz1200
13647190,India has banned disposable plastic in Delhi,671,SimplyUseless
13309610,Startup Puts Everything You Need for a Two-Acre Farm in a Shipping Container,511,kungfudoi
13860890,The Uber Bombshell About to Drop,1089,dantiberian
13747414,I am an Uber survivor,2168,NelsonMinar
15089476,Ask HN: What is your favorite CS paper?,793,lainon
14723308,What Is Ethereum?,837,songzme
13650818,GitHub commit search: ?remove password?,861,rsc-dev
15147660,The art of over-engineering your side projects,869,elsyms
13382263,Georgia Tech Offers Online Master of Science in Analytics Degree for Under $10K,533,dgritsko
15694430,The fake Facebook profile industry,795,imartin2k
15546536,Why We Must Fight for the Right to Repair Our Electronics,866,sohkamyung
14136081,Steve Ballmer serves up a data trove about government spending in the US,1124,throw9982
14357881,Chelsea Manning released from prison,629,nerdy
13844389,What the CIA WikiLeaks Dump Tells Us: Encryption Works,663,kungfudoi
13775667,Summary of the Amazon S3 Service Disruption,1246,oscarwao
14790251,The Limitations of Deep Learning,794,olivercameron
14338411,Why do many math books have so much detail and so little enlightenment? (2010),620,mathgenius
15827369,"After 37 years, Voyager has fired up its trajectory thrusters",740,lisper
13514802,"Lyft donates $1M to the ACLU, condemns Trump?s immigration actions",514,vthallam
14189392,Robert M. Pirsig has died,655,molecule
15857833,Portugal?s radical drug policy is working. Why hasn?t the world copied it?,571,benbreen
13719368,Linus' reply on Git and SHA-1 collision,704,sampo
13531707,"Welcome, ACLU",1558,katm
13973391,A lawsuit over Costco golf balls,570,prostoalex
14797616,The Myth of Drug Expiration Dates,609,danso
13520891,Ask HN: Which developers do you closely follow?,551,krptos
13547089,How Children Lost the Right to Roam in Just 4 Generations,556,bootload
14630650,Texas Is Too Windy and Sunny for Old Energy Companies to Make Money,558,JumpCrisscross
13541162,An Email Thread Between a Developer and Gigster,821,mfts0
14435219,How to Sleep,649,ALee
14476421,Accidentally destroyed production database on first day of a job,740,whistlerbrk
15485672,Keyboard latency,747,darwhy
14145388,Whistleblower uncovers London police hacking of journalists and protestors,764,troubleden
14087002,Why Slack is inappropriate for open source communications,847,im_dario
14403911,1Password Travel Mode: Protect your data when crossing borders,1004,nthitz
15234207,It appears my Google account is slated for deletion,657,harryh
15553205,I have no side code projects to show you,771,nnd
14309194,A crashed advertisement reveals logs of a facial recognition system,1450,dmit
14656945,Is it unethical for me to not tell my employer I've automated my job?,685,Ajedi32
14394465,How Anker is beating Apple and Samsung at their own accessory game,597,Tomte
13421608,RethinkDB Postmortem,948,v3ss0n
14600873,Uber Founder Travis Kalanick Resigns as C.E.O.,2119,java_script
14059727,New York City bans employers from asking potential workers about past salary,718,mendelk
14715384,I make $10k per month with the Amazon Affiliate Program,550,danso
15447706,Spotify?s Discover Weekly: How machine learning finds new music,551,kiyanwang
15072558,Let Consumers Sue Companies,576,jseliger
14630183,Intel Skylake/Kaby Lake processors: broken hyper-threading,1108,vbernat
14605342,Teller ? API for your bank account,609,ldn_tech_exec1
15853374,AMA: NY AG Schneiderman on net neutrality and protecting our voice in government,1126,AGSchneiderman
15862278,Millions Are Hounded for Debt They Don?t Owe. One Victim Fought Back,526,jseliger
15858197,Mastering Chess and Shogi by Self-Play with General Reinforcement Learning,539,dennybritz
14606812,"My Uber driver robbed me, so I took Uber to court and won",588,fischerq
14971326,DeepMind and Blizzard Open StarCraft II as an AI Research Environment,603,nijynot
14477851,Ask HN: Books you wish you had read earlier?,631,jmstfv
15401211,Keybase launches encrypted Git,1427,aston
14386394,Ask HN: How do I switch from being a passive consumer to an active producer?,699,humaninstrument
15302707,?The moon blew up without warning and for no apparent reason?,710,mhb
13837850,Password Rules Are Bullshit,711,ingve
15041986,Afraid of Makefiles? Don't be,502,tdurden
14028842,Why F.E.A.R.?s AI is still the best in first-person shooters,597,danso
15558227,?Startup? asks internship applicant to build their app before phone screen,625,erklik
15515292,Iceland's attempts to replant its forests,697,farseer
14674460,NYPD is canceling its Palantir contract,501,tefo-mohapi
14703661,Antisocial Coding: My Year at GitHub,711,speaktochris
13559662,Announcing GVFS: Git Virtual File System,805,janwh
14745936,Cloudflare?s fight with a ?patent troll? could alter the game,723,Stanleyc23
13527482,Lyft surges to the top 10 on App Store following the ?DeleteUber? campaign,675,sethbannon
15448996,"Firefox Send: Private, Encrypted File Sharing",856,networked
13369510,Welcome Chris Lattner,879,nil_is_me
13372985,The closest I've ever come to falling for a Gmail phishing attack,667,kukx
15206926,"Identity Theft, Credit Reports, and You",1088,darwhy
15195510,Cybersecurity Incident Involving Consumer Information,1044,runesoerensen
13830587,YC will hold interviews in Vancouver for founders who can?t get US visas,1125,dwaxe
15862494,Ask HN: Huge enterprise customer wants to see our source code,513,throwawaysource
14651287,Take Naps at Work,523,aarohmankad
15254952,Mystery of sonic weapon attacks in Cuba deepens,523,nikcub
14103091,Remove United from your flight results,535,accountnumber
13778543,94-year-old Lithium-Ion Battery Inventor Introduces Solid State Battery,1168,andruby
13858656,Rand Paul: NSA Routinely Monitors Americans? Communications Without Warrants,542,remx
14806393,Why Should I Start a Startup?,569,craigcannon
13484372,Deep learning algorithm diagnoses skin cancer as well as seasoned dermatologists,596,capocannoniere
14979642,A rising sentiment that IBM?s Watson can?t deliver on its promises,503,artsandsci
15291961,DuckDuckGo vs Google,1140,gcuofano
14784900,Employees Who Stay in Companies Longer Than Two Years Get Paid 50% Less,708,askafriend
15789108,American Equity,509,nebula
15651058,Paradise Papers: Dear Tim Cook,1200,mpweiher
14639295,"The Best Machine Learning, NLP, and Python Tutorials I?ve Found",523,RobbieStats
14447393,Uber Fires Anthony Levandowski,611,coloneltcb
15168394,"HSBC is killing my business, piece by piece?",739,larsiusprime
15165111,"Watsi launches universal health coverage, funded by YC Research",564,chaseadam17
14204702,India Is Winning Its War on Human Waste,687,gauMah
14823807,The New Firefox and Ridiculous Numbers of Tabs,984,robin_reala
15178615,Demon-Haunted World,768,drabiega
15460851,TerrariaClone ? An incomprehensible hellscape of spaghetti code,577,warent
13421927,"Standard Notes ? A notes app with a focus on longevity, portability, and privacy",673,mikecarlton
13649523,Google?s not-so-secret new OS,634,techenthusiast
15062225,Ellen Pao: My lawsuit failed. Others won?t,682,gkanai
13824032,Notepad++ V 7.3.3 ? Fix CIA Hacking Notepad++ Issue,1101,infogulch
15446295,"Israel Hacked Kaspersky, Then Tipped NSA Its Tools Had Been Breached",537,tptacek
13533661,Open-sourcing Chrome on iOS,550,coloneltcb
14489964,Apple adds a tracker blocker to desktop Safari,517,Allvitende
15008076,A Solution of the P versus NP Problem?,662,fahrbach
14422605,Linux Inside ? How the Linux Kernel Works,564,SebNag_
15675582,RSS: there's nothing better,640,dyates
14031452,Tim Berners-Lee wins Turing Award,1735,melqdusy
14422785,Facebook's tentacles reach further than people think,506,CarolineW
13755673,Ask HN: Is S3 down?,2589,iamdeedubs
15800676,macOS High Sierra: Anyone can login as ?root? with empty password,3001,vladikoff
14548030,Chuck Thacker has died,558,mpweiher
15012883,U.S. judge says LinkedIn cannot block startup from public profile data,779,techrush
13593814,What programming languages are used most on weekends?,782,minaandrawos
13785277,Rust's language ergonomics initiative,506,aturon
14976028,Outraged about the Google diversity memo?,571,rice_otaku
14031619,The Mac Pro Lives,877,neilprosser
14811721,Scientists Reverse Brain Damage in Drowned Toddler?,563,Deinos
15309393,How I got to 200 productive hours a month,853,miqkt
14347648,"?MP3 is dead? missed the real, much better story",650,imartin2k
15795808,"DRM?s Dead Canary: How We Lost the Web, What We Learned, and What to Do Next",660,mimi89999
14973506,Salesforce fires red team staffers who gave Defcon talk,698,stevekillian
15423202,Sorting Visualizations,651,infodroid
15747650,Desktop compositing latency is real,538,dezgeg
14523523,Be Careful with UUID or GUID as Primary Keys,593,bkudria
13994203,Many famous scientists have something in common: they didn?t work long hours,603,dnetesn
15367531,How the Catalan government uses IPFS to sidestep Spain's legal block,906,kilburn
14703098,Show HN: A virtual machine made with Google Sheets formulas (no script),620,SonOfLilit
14444914,How to Improve a Legacy Codebase,653,darwhy
14998081,"Big brother is here, and his name is Facebook",504,ahiknsr
13390511,Obama Expands Surveillance Powers on His Way Out,589,doener
15655840,BitTorrent inventor announces eco-friendly Bitcoin competitor Chia,504,chriskanan
13392885,VR,1008,craigcannon
14980512,Four Earth-sized planets detected orbiting the nearest sun-like star,641,mrfusion
15395946,Yahoo Triples Estimate of Breached Accounts to 3B,647,coloneltcb
15210022,Text-only CNN,1017,ekimekim
15408800,PostgreSQL 10 Released,1024,Tostino
15133919,A camera that snaps a GIF and ejects a cartridge that displays it,1480,wyldfire
13682949,Ask HN: What're the best-designed things you've ever used?,597,whitepoplar
14393991,Get your loved ones off Facebook,641,milly1993
14068280,Snowden: NSA just lost control of its Top Secret arsenal of digital weapons,657,Yrlec
14304088,President Trump Dismisses FBI Director Comey,594,DamnInteresting
14182262,Lyrebird ? An API to copy the voice of anyone,1401,adbrebs
15718686,Tesla Semi,922,runesoerensen
15771183,?I fell down a bit of a ruins research rabbit-hole?,586,caio1982
13464496,"Learn TensorFlow and deep learning, without a Ph.D.",720,ShanaM
14786358,Two days in an underwater cave running out of oxygen,501,Luc
14536410,Automattic is closing its San Francisco office as most employees work remotely,533,nkjoep
15892066,Show HN: Airmash ? Multiplayer Missile Warfare HTML5 Game,1527,fivesigma
15477286,US telcos appear to be selling non-anonymized access to consumer telephone data,1273,benaadams
14752392,The Facebook Algorithm Mom Problem,738,pmlnr
15694926,Firefox 57.0 Released,1692,l2dy
15246348,Building a working game of Tetris in Conway's Game of Life,512,Xophmeister
15297915,How Booking.com manipulates users,583,bogomipz
13426494,What I Wish I'd Known About Equity Before Joining a Unicorn,1382,yossorion
15919115,"Machine Learning 101 slidedeck: 2 years of headbanging, so you don't have to",767,flor1s
14021885,Every attempt to manage academia makes it worse,549,balsam
14060846,The reference D compiler is now open source,566,jacques_chirac
14446261,SCOTUS: Patent Rights Over a Printer Cartridge Are Exhausted When It Is Sold,884,beefman
13475172,Wine 2.0 released,896,coldpie
15318440,"Post a boarding pass on Facebook, get your account stolen",726,flux_w42
14990137,Ad blocking is under attack,1111,tiagobraw
14269708,Uber faces criminal probe over software used to evade authorities,883,techlover14159
14834672,Pev: Postgres ?Explain? Visualizer (2016),612,insulanian
15360362,A ?right to repair? movement tools up,928,edward
13629344,Python moved to GitHub,820,c8g
14156954,A new upstream project to break up Docker into independent components,571,lclarkmichalek
15246197,"Face ID, Touch ID, No ID, PINs and Pragmatic Security",612,Artemis2
13726274,FCC weakens net neutrality rule in a prelude to larger rollbacks,550,vivekmgeorge
15473777,The impossible dream of USB-C,635,okket
13595999,Thousands of deadly U.S. military airstrikes have gone unreported,568,3131s
14185891,"Caterpillar found to eat shopping bags, suggesting solution to plastic pollution",597,fh973
14835515,18yo arrested for reporting a bug in the new Budapest e-Ticket system,874,atleta
14437921,Ask HN: What are some examples of successful single-person businesses?,685,1ba9115454
13857887,Pi-hole ? A black hole for Internet advertisements,551,goblin89
13924546,Sellers printing counterfeit books and selling under Amazon's brand,590,dash488
13752376,"Raspberry Pi Zero W, with Wi-Fi and Bluetooth, priced at $10",653,benn_88
15878197,Oregon punished an engineer for criticizing red-light cameras. He fought and won,517,notlob
15745441,Tether Critical Announcement,532,benpink
15759562,Sugar industry withheld possible evidence of cancer link 50 years ago,608,mtberatwork
15500836,AlphaGo Zero: Learning from scratch,923,stablemap
14505378,Options vs. Cash,679,darwhy
14612680,Luna ? Visual and textual functional programming language,944,interpol_p
14830671,Computational Linear Algebra,537,julianj
13607890,GitLab?s Secret to Managing Employees in 160 Locations: Write Everything Down,520,craigcannon
13940412,Modern JavaScript for Ancient Web Developers,651,rmason
14497295,"Show HN: Monica, an open-source CRM to manage friends and family",1097,robinhood
13752887,Qualities that I believe make the most difference in programmers? productivity,782,sathis
15268726,Buffett wins $1M decade-old bet that the S&P500 would outperform hedgefunds,786,yurisagalov
14146850,Ask HN: Best business advice for software developers,847,zabana
14568468,Amazon to Acquire Whole Foods for $13.7B,1687,whatok
13823979,The System Design Primer,508,donnemartin
13857086,Stories that Hacker News removes from the front page,1274,foob
13881535,Beautiful Racket v1.0,537,Curiositry
13437905,NHTSA?s full investigation into Tesla?s Autopilot shows 40% crash rate reduction,808,fmihaila
13741746,?I was just asked to balance a Binary Search Tree by JFK's airport immigration?,660,z3t1
15428526,Designing Data-Intensive Applications,598,wooola
15008636,Let's Remove the Global Interpreter Lock,644,MikusR
13922419,2038: Only 21 years away,682,corbet
14788354,Machine Learning Crash Course: The Bias-Variance Dilemma,540,Yossi_Frenkel
14852270,Here be dragons: the same 3D scene implemented with 10 different 3D APIs,574,adamnemecek
14599668,Tesla hires Andrej Karpathy,538,janober
14418877,Why I Quit Being So Accommodating (1922),866,Tomte
13551610,John Carmack on expert witnesses and 'non literal' copying,505,samlittlewood
15752022,Uber Paid Hackers to Delete Stolen Data on 57M People,1720,coloneltcb
14308754,Visual Studio for Mac,532,insulanian
14002386,Fuchsia: a new operating system,503,rbanffy
13941011,Intent to Deprecate and Remove: Trust in Existing Symantec-Issued Certificates,762,ehPReth
14918911,Mozilla?s Send makes it easy to send a file from one person to another,598,Tomte
14537506,Reverse engineering guide for beginners: Methodology and tools,801,ingve
13732288,Machine Learning from scratch: Bare bones implementations in Python,694,eriklindernoren
14213220,Rust 1.17,551,steveklabnik
15441537,"iOS Privacy: Easily get a user's Apple ID password, just by asking",867,krausefx
15623604,Sometimes all a maintainer needs is a ?thank you?,527,amingilani
13498485,Linux Performance,536,pablode
13296502,The moving sofa problem,690,vinnyglennon
13765240,The Other Half,805,myth_drannon
13886105,"Police ask for whole city's Google searches, and a judge says yes",635,johns
14998429,YouTube AI deletes war crimes evidence as 'extremist material',674,jacobr
