user,story,comment
21,14356377,1
21,15131370,1
21,15196309,1
47,15601729,1
47,14023198,1
47,14238005,1
47,15384262,1
EA,14774167,1
Iv,14911467,1
Iv,14998429,1
Iv,15309989,1
Jd,15745441,1
Mz,13682022,1
Mz,14718089,1
Mz,15451060,1
Mz,14418877,1
Mz,14731181,1
Mz,15511285,1
Mz,14013996,1
Mz,13810764,1
Mz,14386394,1
Mz,14664417,1
Mz,14776357,1
Mz,15623604,1
Mz,14417758,1
Mz,15294171,1
Mz,15624677,1
Mz,14806393,1
Mz,14673777,1
Mz,14702676,1
Mz,14744068,1
Mz,14437921,1
TY,14055655,1
WA,13414570,1
WA,14201562,1
WA,13576236,1
WA,15297915,1
_e,14653017,1
bd,15483231,1
cf,14338411,1
cf,14823807,1
cj,13301832,1
cj,14238005,1
cj,14023198,1
cj,13419444,1
di,13541679,1
di,15148885,1
di,15384262,1
di,14688684,1
di,15601729,1
di,14023198,1
di,13301832,1
di,13629344,1
do,15384262,1
dy,13668916,1
dy,14351324,1
e9,15389727,1
ed,14238005,1
g9,13950002,1
hw,15739744,1
hw,15297915,1
hw,15719262,1
hw,15745441,1
hw,15332819,1
it,13543233,1
lg,14947361,1
lr,15502142,1
lr,15502142,1
nl,14674460,1
nl,15858197,1
nl,14462384,1
nl,15409376,1
nl,14683964,1
nl,14051851,1
o-,14807779,1
of,15037960,1
of,14923362,1
ot,13319904,1
pc,14090063,1
po,13641301,1
pw,14039135,1
ra,13541679,1
tc,15500836,1
vm,15890551,1
wj,14146850,1
wj,13421927,1
wj,13682949,1
wj,15534034,1
xs,14313797,1
xs,14403036,1
xs,15237896,1
y7,14292396,1
yk,14350293,1
yk,15367531,1
yk,14055655,1
yk,15265507,1
013,15744359,1
0mp,13601451,1
0x0,14592745,1
0x0,15298833,1
0x0,13713480,1
0x0,15253781,1
0x0,14308754,1
0x0,14529376,1
0x0,14643467,1
0x0,15316175,1
0xa,13301832,1
127,13365430,1
1as,13541679,1
33W,14256300,1
33a,13778543,1
33a,15094639,1
3dk,13797042,1
4ad,14105721,1
4ad,14105721,1
4ad,15337730,1
505,15089476,1
6DM,13426896,1
6nf,13629593,1
6nf,14807779,1
6nf,14338212,1
97s,13955981,1
ARR,15384262,1
ARR,15601729,1
Bud,15845400,1
Bud,14226775,1
DLA,15168467,1
DLA,13726886,1
Eun,14226775,1
Eun,14002821,1
Fej,15085159,1
Fej,14701460,1
Fej,15304242,1
Fej,15165111,1
Fej,15298833,1
Fej,15278883,1
Fej,14266423,1
Fej,13755673,1
Fej,15744359,1
GTP,13629728,1
GTP,14141454,1
Gmo,14346652,1
Gys,14671070,1
IBM,15466599,1
IBM,15747519,1
IBM,14031619,1
IE6,15187874,1
ISL,13309025,1
ISL,15089916,1
ISL,14050049,1
LVB,13816627,1
LVB,13682949,1
Luc,14670306,1
Lxr,15694118,1
Lxr,15591441,1
Lxr,15273228,1
Lxr,14021885,1
Lxr,13576236,1
Lxr,13601451,1
Lxr,13960183,1
Lxr,14757687,1
Lxr,13884357,1
MKK,15824597,1
MKK,13541679,1
MLR,13743908,1
N26,13301832,1
NDT,14308754,1
OUD,15384262,1
RSO,13301832,1
SCM,14688684,1
SCM,14023198,1
SCM,15824597,1
SCM,13541679,1
SCM,14238005,1
SCM,15601729,1
SCM,15384262,1
SCM,13301832,1
SCM,15148885,1
TCM,15306398,1
TCM,15306398,1
Too,14075720,1
Too,15538666,1
Udo,14087381,1
V-2,15694926,1
V-2,13537052,1
VLM,13816627,1
VLM,15633785,1
VLM,13520891,1
VLM,13682949,1
VMG,14620608,1
VMG,13958366,1
YZF,13426896,1
YZF,13886626,1
YZF,14550060,1
YZF,13696004,1
YZF,14560042,1
Y_Y,13990391,1
Y_Y,14021885,1
ZFH,14031619,1
Zak,13421608,1
__s,15342486,1
__s,14155393,1
__s,14447682,1
_ix,15210022,1
_mb,15142853,1
_mb,15339983,1
_of,13966241,1
_up,15675582,1
a3n,13857887,1
a3n,14326439,1
a3n,13559581,1
a3n,13591561,1
a3n,13370310,1
a3n,13585104,1
a3n,13726886,1
a3n,14166966,1
a3n,14226775,1
a3n,13511348,1
a3n,13718752,1
a9a,15644680,1
a_c,15507871,1
a_c,13939645,1
a_d,14189392,1
a_d,14195664,1
acd,13319904,1
acd,13683110,1
acd,13385873,1
acd,13718752,1
acd,13941011,1
acd,14145388,1
acd,14308189,1
acd,15160149,1
acd,13475172,1
acv,15148885,1
adw,14031619,1
adw,15601729,1
aey,14656945,1
aey,15240781,1
agd,14049868,1
agd,13394900,1
agd,13389935,1
agl,15367531,1
ah-,15400037,1
ahh,14995165,1
aj7,14656945,1
aj7,15633785,1
aj7,15538666,1
aj7,13786220,1
ajb,15206926,1
ajb,14998429,1
ajp,15892066,1
amq,14308189,1
amq,14156954,1
amq,15500220,1
amq,14918911,1
amq,15795808,1
amq,14452819,1
amq,13721452,1
amq,13471543,1
amq,15384262,1
amq,13585104,1
amq,14501894,1
anf,13790871,1
anw,13503067,1
api,15481819,1
api,14066948,1
api,13942345,1
api,14029572,1
api,15719262,1
api,13921433,1
api,14649727,1
api,14360549,1
api,14156954,1
api,13579544,1
api,13382963,1
api,15902054,1
api,14518542,1
api,14237266,1
api,15756062,1
api,15686442,1
api,13644959,1
api,15800676,1
api,14630650,1
api,14308189,1
api,13610146,1
api,14087381,1
apo,14323265,1
apo,15883186,1
apo,14313797,1
apo,15155833,1
apo,14161876,1
apo,14297289,1
apo,13810015,1
apo,15398550,1
apo,13876514,1
apu,14238005,1
apu,14688684,1
apu,15601729,1
ars,14178397,1
ars,15193892,1
ars,14338328,1
ars,15281455,1
ars,14542938,1
ars,13886105,1
ars,14185891,1
ars,14852270,1
ars,13347852,1
ars,15538666,1
asr,14664417,1
awt,13858597,1
axg,13755673,1
axl,15754287,1
ayw,14688684,1
ayw,14023198,1
ayw,14238005,1
b-h,15824597,1
baq,14495893,1
baq,14004329,1
bas,13755673,1
bbx,15456833,1
bch,13713480,1
bch,13960183,1
bch,15321850,1
bch,13682949,1
bcl,13718752,1
bdz,15714318,1
bdz,15763013,1
bdz,13774006,1
bdz,15049171,1
bfe,14688684,1
bfu,14644539,1
bg0,15808096,1
bg0,14094083,1
bg0,15368104,1
bg4,15862494,1
bg4,15250644,1
bg4,15723772,1
blt,15116379,1
blt,13904881,1
bqe,14238005,1
bqe,15031922,1
br1,14310652,1
br1,14884992,1
bru,14156954,1
btb,14296959,1
btb,15694118,1
buf,14639967,1
buf,14702676,1
buf,15544378,1
bvi,15368353,1
bwb,15031922,1
c3d,15062225,1
c8g,14002821,1
c8g,14291412,1
c8g,14635013,1
caf,14296959,1
caf,14959288,1
caf,13520891,1
caf,13539552,1
caf,13312629,1
caf,13774006,1
caf,14011793,1
cbr,13437905,1
ce4,13622301,1
ce4,15410953,1
cft,14338411,1
cft,14990137,1
cft,15280064,1
cft,15234207,1
cft,13860890,1
cft,15031922,1
cfv,13593272,1
chj,15052691,1
chj,15321015,1
chm,13718752,1
chx,14403911,1
chx,14939976,1
chx,14757687,1
chx,13365430,1
chx,15432720,1
chx,13755673,1
chx,14835515,1
chx,13684439,1
chx,13797042,1
chx,15473777,1
chx,13531707,1
chx,15243202,1
chx,13924546,1
chx,15826445,1
chx,14779881,1
chx,14373951,1
chx,14649727,1
chx,15916121,1
chx,13719368,1
cju,13541679,1
ckw,15031922,1
cma,15066729,1
cnj,13301832,1
cnj,13541679,1
cpg,13932226,1
cpr,13610146,1
cpr,13498365,1
cpr,14259456,1
cpr,14108797,1
css,15400037,1
ct0,13775667,1
cwe,13755673,1
cwe,15148885,1
d0m,14523523,1
d0m,15066729,1
d0m,13301832,1
d0m,13541679,1
d0m,14486657,1
d23,15786802,1
d33,13790871,1
d33,15480895,1
dap,14189392,1
dap,13775667,1
dc2,14661285,1
dcc,15384262,1
dcx,15867918,1
df3,13840282,1
dfc,13924546,1
dfo,14023198,1
dll,13683110,1
dmm,13774006,1
doh,13301832,1
doh,15384262,1
doh,15446049,1
doh,15148885,1
doh,15601729,1
doh,14688684,1
doh,15824597,1
dpq,15222240,1
dqv,13541162,1
dr_,15478078,1
drp,14688684,1
dsl,15756684,1
dtf,15800676,1
dvh,13372985,1
dvl,13459740,1
dvl,14997799,1
dvt,14310652,1
dvt,13778543,1
dvt,14600873,1
dvt,14911467,1
dvt,13338592,1
dvt,14995165,1
dvt,14462785,1
dvt,14090419,1
dvt,14976028,1
dw2,14238005,1
dwb,15696596,1
dwc,13426896,1
dwg,15644680,1
e0m,15601729,1
e0m,13707547,1
e0m,15824597,1
e0m,13713480,1
