user,created,karma,submitted
21,1454365382.0,2186.0,583.0
47,1258738313.0,144.0,60.0
EA,1318343363.0,355.0,126.0
Iv,1307030332.0,3069.0,799.0
Jd,1183474886.0,2339.0,804.0
Mz,1248010177.0,25006.0,10479.0
TY,1210908452.0,1130.0,175.0
WA,1258733167.0,2735.0,652.0
_e,1317049574.0,265.0,125.0
bd,1202606172.0,5099.0,837.0
cf,1175064329.0,1062.0,130.0
cj,1255809635.0,1506.0,383.0
di,1322618411.0,490.0,63.0
do,1250967390.0,233.0,23.0
dy,1292890752.0,608.0,167.0
e9,1496380611.0,168.0,66.0
ed,1172247448.0,2816.0,494.0
g9,1215789017.0,18.0,10.0
hw,1395723241.0,284.0,151.0
it,1249798412.0,524.0,101.0
lg,1193000502.0,531.0,323.0
lr,1211432101.0,807.0,217.0
nl,1207542660.0,21177.0,6685.0
o-,1468669730.0,67.0,10.0
of,1346158136.0,1973.0,208.0
ot,1285705778.0,14019.0,1155.0
pc,1171868090.0,10816.0,614.0
po,1245638880.0,6284.0,1194.0
pw,1236588042.0,4064.0,401.0
ra,1207894583.0,3553.0,950.0
tc,1172121798.0,4391.0,492.0
vm,1311038263.0,979.0,211.0
wj,1276278555.0,1185.0,562.0
xs,1265083120.0,302.0,119.0
y7,1461686998.0,561.0,98.0
yk,1334197007.0,4312.0,992.0
013,1374482494.0,142.0,70.0
0mp,1475584782.0,268.0,28.0
0x0,1288173577.0,13454.0,2790.0
0xa,1351784032.0,32.0,37.0
127,1304336815.0,288.0,137.0
1as,1301614862.0,191.0,33.0
33W,1395862682.0,302.0,172.0
33a,1338110335.0,416.0,134.0
3dk,1451521133.0,54.0,9.0
4ad,1312476682.0,4202.0,1723.0
505,1372842938.0,51.0,76.0
6DM,1471350688.0,344.0,151.0
6nf,1459689151.0,605.0,335.0
97s,1304032694.0,271.0,89.0
ARR,1258740727.0,195.0,19.0
Bud,1275006986.0,6375.0,1376.0
DLA,1463631217.0,28.0,14.0
Eun,1458761430.0,180.0,61.0
Fej,1452638205.0,1632.0,466.0
GTP,1434730644.0,90.0,71.0
Gmo,1240233190.0,1098.0,364.0
Gys,1382613105.0,781.0,477.0
IBM,1382402003.0,6533.0,835.0
IE6,1418226402.0,124.0,62.0
ISL,1348260249.0,6553.0,1566.0
LVB,1316330129.0,1978.0,372.0
Luc,1205265313.0,5415.0,1431.0
Lxr,1462043240.0,772.0,159.0
MKK,1301447103.0,22.0,14.0
MLR,1297793706.0,230.0,115.0
N26,1484150126.0,1.0,2.0
NDT,1335123791.0,29.0,39.0
OUD,1459964848.0,2.0,5.0
RSO,1295260290.0,5.0,5.0
SCM,1441378311.0,4.0,27.0
TCM,1504623558.0,108.0,27.0
Too,1317974287.0,1686.0,996.0
Udo,1286022367.0,12919.0,2912.0
V-2,1375710205.0,1641.0,1024.0
VLM,1335704205.0,11533.0,6312.0
VMG,1253224506.0,7246.0,2439.0
YZF,1344373652.0,1680.0,639.0
Y_Y,1471013525.0,312.0,155.0
ZFH,1491310480.0,3.0,3.0
Zak,1171944862.0,6852.0,2128.0
__s,1442029266.0,806.0,359.0
_ix,1383848179.0,107.0,46.0
_mb,1504132438.0,0.0,3.0
_of,1346924858.0,736.0,192.0
_up,1402949979.0,135.0,141.0
a3n,1364540552.0,8916.0,3981.0
a9a,1481651198.0,98.0,19.0
a_c,1381383341.0,229.0,104.0
a_d,1434949286.0,618.0,75.0
acd,1349439447.0,715.0,551.0
acv,1359421430.0,11.0,8.0
adw,1238532045.0,1154.0,454.0
aey,1447192683.0,74.0,41.0
agd,1396784938.0,1146.0,171.0
agl,1187135723.0,2041.0,224.0
ah-,1335222615.0,712.0,148.0
ahh,1302397664.0,375.0,154.0
aj7,1449449542.0,140.0,81.0
ajb,1225888268.0,1189.0,426.0
ajp,1248969103.0,39.0,13.0
amq,1434193566.0,636.0,142.0
anf,1463598135.0,61.0,35.0
anw,1351701632.0,274.0,75.0
api,1191540985.0,17552.0,5738.0
apo,1318552475.0,2414.0,311.0
apu,1193156996.0,4066.0,782.0
ars,1215505101.0,22309.0,9030.0
asr,1271166455.0,647.0,111.0
awt,1171985788.0,937.0,530.0
axg,1410381207.0,610.0,77.0
axl,1247303688.0,6.0,7.0
ayw,1454555362.0,100.0,85.0
b-h,1509218241.0,1.0,1.0
baq,1258806822.0,3122.0,1298.0
bas,1287617795.0,156.0,69.0
bbx,1250697153.0,2898.0,271.0
bch,1254245745.0,1665.0,738.0
bcl,1237656192.0,5388.0,884.0
bdz,1317045897.0,1405.0,244.0
bfe,1296337380.0,2913.0,440.0
bfu,1490265599.0,39.0,22.0
bg0,1389548701.0,11.0,33.0
bg4,1259092583.0,233.0,55.0
blt,1335984794.0,1791.0,734.0
bqe,1362701091.0,1689.0,175.0
br1,1270816999.0,121.0,68.0
bru,1317616395.0,1124.0,155.0
btb,1319732149.0,55.0,47.0
buf,1265413307.0,1257.0,222.0
bvi,1259917434.0,1208.0,300.0
bwb,1208265252.0,322.0,195.0
c3d,1320920143.0,365.0,171.0
c8g,1476271319.0,575.0,93.0
caf,1254835109.0,8062.0,2718.0
cbr,1246489515.0,3190.0,1074.0
ce4,1359128952.0,289.0,111.0
cft,1292309421.0,4004.0,835.0
cfv,1338226876.0,44.0,40.0
chj,1317863262.0,889.0,642.0
chm,1343323431.0,945.0,639.0
chx,1284466437.0,5614.0,1275.0
cju,1359633440.0,399.0,103.0
ckw,1361302873.0,27.0,11.0
cma,1240726960.0,5619.0,2226.0
cnj,1456846444.0,29.0,15.0
cpg,1221536897.0,1119.0,205.0
cpr,1207446067.0,4484.0,1307.0
css,1453498876.0,3.0,7.0
ct0,1292218623.0,82.0,43.0
cwe,1306172093.0,764.0,197.0
d0m,1254915653.0,2671.0,1301.0
d23,1345748690.0,2178.0,680.0
d33,1449659113.0,1283.0,443.0
dap,1313428341.0,1281.0,278.0
dc2,1432344865.0,542.0,206.0
dcc,1306939360.0,3.0,6.0
dcx,1227532299.0,278.0,45.0
df3,1463347650.0,266.0,41.0
dfc,1296769122.0,7974.0,3801.0
dfo,1457302161.0,1.0,2.0
dll,1263295896.0,312.0,34.0
dmm,1202058388.0,3641.0,1024.0
doh,1302525007.0,2418.0,308.0
dpq,1502267963.0,39.0,8.0
dqv,1472985311.0,352.0,180.0
dr_,1289140719.0,2716.0,533.0
drp,1223599038.0,1270.0,253.0
dsl,1296289808.0,6860.0,1624.0
dtf,1243633464.0,2625.0,514.0
dvh,1421766355.0,625.0,169.0
dvl,1397952775.0,40.0,24.0
dvt,1350243385.0,2677.0,759.0
dw2,1493727180.0,2.0,1.0
dwb,1325465307.0,178.0,87.0
dwc,1292263710.0,2307.0,579.0
dwg,1242689736.0,260.0,104.0
e0m,1318445836.0,985.0,144.0
e40,1181524598.0,5091.0,1707.0
e79,1390445929.0,127.0,47.0
ece,1501614784.0,31.0,108.0
eco,1290538674.0,1459.0,369.0
edo,1255197989.0,1407.0,106.0
ef4,1293100403.0,5744.0,1036.0
efm,1373084348.0,389.0,117.0
egb,1269009548.0,783.0,135.0
eip,1365375991.0,194.0,532.0
ejp,1306709375.0,39.0,27.0
ejz,1413518057.0,8.0,14.0
eli,1172204475.0,21915.0,7556.0
emu,1316721352.0,201.0,46.0
eob,1236229215.0,1791.0,357.0
eof,1261369348.0,3152.0,755.0
epa,1351998750.0,887.0,193.0
eps,1268855892.0,4461.0,1606.0
epx,1389560891.0,305.0,229.0
eru,1187280076.0,17801.0,13683.0
est,1226411056.0,4236.0,2105.0
ev9,1271180317.0,15.0,9.0
evv,1349969291.0,1026.0,340.0
ewa,1436782816.0,3.0,9.0
ews,1191317707.0,188.0,61.0
f2f,1268413772.0,1060.0,229.0
fdr,1287433002.0,598.0,231.0
ff_,1384117145.0,1001.0,121.0
fjw,1297052309.0,344.0,86.0
fky,1510311856.0,5.0,1.0
fnj,1471574185.0,356.0,240.0
fnl,1286995361.0,589.0,358.0
fny,1361644175.0,1038.0,263.0
fwx,1490082223.0,14.0,8.0
gcr,1262335806.0,3186.0,1358.0
ggm,1491962361.0,454.0,105.0
gh1,1476068543.0,380.0,122.0
ghc,1298143456.0,2105.0,354.0
ghh,1345025636.0,228.0,23.0
gk1,1301594869.0,9452.0,2736.0
gms,1172488693.0,1247.0,441.0
gog,1303916171.0,285.0,100.0
gok,1298480403.0,1216.0,277.0
gph,1325979574.0,1314.0,430.0
grk,1242754174.0,1145.0,161.0
gry,1207972552.0,712.0,273.0
gt2,1465997901.0,174.0,123.0
gt_,1491026279.0,359.0,371.0
gvb,1238554303.0,7112.0,1435.0
gxs,1253521114.0,1313.0,447.0
gyu,1412319855.0,4.0,2.0
gz5,1357135121.0,1488.0,200.0
h1d,1357476221.0,180.0,256.0
hbk,1496988210.0,2.0,2.0
hcs,1440711061.0,738.0,112.0
hd4,1466151821.0,698.0,195.0
hdi,1498832230.0,12.0,11.0
hew,1269023202.0,319.0,33.0
hhw,1343543140.0,480.0,208.0
hiq,1419325991.0,514.0,109.0
hl5,1482024185.0,90.0,68.0
hop,1240298314.0,2307.0,509.0
hu3,1487006393.0,21.0,14.0
hvo,1441912976.0,6668.0,812.0
hxn,1416123763.0,102.0,22.0
iaw,1352609140.0,2325.0,844.0
icu,1374681677.0,258.0,179.0
icw,1393869723.0,6.0,9.0
ifc,1286511032.0,2.0,12.0
ig1,1206830860.0,11713.0,3560.0
igl,1377171223.0,265.0,189.0
iiv,1473870815.0,207.0,33.0
imb,1303698245.0,729.0,38.0
imh,1402339823.0,2284.0,636.0
ims,1315870451.0,632.0,114.0
in9,1493087339.0,141.0,38.0
ino,1333375319.0,617.0,243.0
inv,1339932765.0,92.0,15.0
isp,1385399180.0,1289.0,79.0
ivm,1433178311.0,752.0,394.0
ivv,1324357074.0,131.0,70.0
ixr,1497009070.0,1.0,1.0
j45,1316794028.0,2070.0,1469.0
j_s,1266272464.0,6418.0,3070.0
jbk,1273756912.0,8517.0,808.0
jcl,1202496169.0,4756.0,1949.0
