user,created,karma,submitted
wassimsab,1486250023.0,2.0,1.0
waterfowl,1363288537.0,338.0,91.0
wayoflife,1507107448.0,2.0,1.0
wcbeard10,1362502550.0,550.0,89.0
wcdolphin,1322031904.0,135.0,82.0
wcummings,1377289078.0,2171.0,1379.0
weaksauce,1212198069.0,3350.0,1721.0
weaslesun,1360967701.0,4.0,4.0
webaholic,1415641993.0,705.0,148.0
webnrrd2k,1190668342.0,274.0,258.0
webosdude,1331997246.0,41.0,22.0
webwalker,1461626314.0,11.0,7.0
webwright,1175548777.0,9505.0,1793.0
weinzierl,1272817625.0,3717.0,853.0
westurner,1367704836.0,144.0,195.0
wfunction,1350293859.0,3869.0,1547.0
wgancayco,1486019284.0,1.0,2.0
whendriks,1491203600.0,0.0,6.0
whipoodle,1501608741.0,230.0,528.0
whitemale,1483265406.0,20.0,54.0
whocanfly,1310719370.0,243.0,51.0
wholesavr,1499155445.0,1.0,2.0
widowlark,1412715216.0,101.0,58.0
wildchild,1353839799.0,55.0,80.0
wildpeaks,1355308794.0,932.0,383.0
willand31,1496247151.0,2.0,2.0
willstepp,1300252416.0,176.0,58.0
wingworks,1330583755.0,218.0,98.0
wiredfool,1246863388.0,3087.0,1084.0
wjgilmore,1300388615.0,15.0,35.0
wklaynman,1483559174.0,1.0,6.0
wodencafe,1401969272.0,253.0,106.0
wolfram74,1413758376.0,204.0,64.0
wonder_er,1458594425.0,272.0,97.0
wonderous,1490385728.0,1036.0,335.0
wonderway,1491966001.0,3.0,1.0
woodpanel,1278310160.0,1345.0,247.0
woodruffw,1432660936.0,1574.0,338.0
wopwopwop,1483795880.0,84.0,47.0
wronskian,1345220466.0,32.0,14.0
wtf_is_up,1376533295.0,168.0,141.0
wtvanhest,1300637979.0,3417.0,1431.0
wundering,1485638112.0,2.0,1.0
wushupork,1225905247.0,871.0,329.0
xcadaverx,1508816093.0,2.0,1.0
xenithorb,1328079655.0,20.0,27.0
xenophonf,1290608965.0,2181.0,638.0
xiaohanyu,1491329056.0,21.0,4.0
xophishox,1437656362.0,27.0,17.0
xoroshiro,1490747439.0,52.0,37.0
xparadigm,1470942254.0,378.0,58.0
xsegfault,1421172861.0,8.0,8.0
xwowsersx,1338986476.0,716.0,224.0
xxxmaster,1377522786.0,5.0,11.0
xxyyttuq1,1511209662.0,2.0,1.0
y-c-o-m-b,1453479588.0,16.0,9.0
y0ssar1an,1395771213.0,110.0,14.0
yahyaheee,1426943998.0,78.0,63.0
yankcrime,1282658357.0,2501.0,237.0
yanpanlau,1468514246.0,0.0,7.0
yarapavan,1208159441.0,16812.0,1990.0
yawaramin,1351976616.0,996.0,450.0
yawboakye,1370266095.0,127.0,115.0
yellow103,1494189639.0,2.0,2.0
yilugurlu,1399403919.0,14.0,15.0
yitchelle,1330381338.0,5375.0,1708.0
yoghurtio,1488181334.0,6.0,7.0
yohann305,1338584794.0,278.0,144.0
yotamoron,1303117046.0,85.0,61.0
youngtaff,1292327442.0,748.0,450.0
ytNumbers,1245014914.0,3261.0,765.0
yulapshun,1454420940.0,16.0,7.0
yummybear,1264071198.0,528.0,138.0
yvoschaap,1282910700.0,30.0,13.0
z1mm32m4n,1393156967.0,1118.0,257.0
z3roblock,1382016097.0,0.0,4.0
zach-kuhn,1445629779.0,69.0,10.0
zackbloom,1233962798.0,1854.0,320.0
zahreeley,1446754040.0,7.0,3.0
zappo2938,1440737267.0,796.0,495.0
zaxophone,1471062503.0,5.0,5.0
zbjornson,1446238525.0,682.0,192.0
zebra9978,1473841508.0,25.0,21.0
zebrafish,1485359432.0,208.0,98.0
zenpusher,1420336322.0,3.0,11.0
zensavona,1335591056.0,603.0,241.0
zer0tonin,1488794200.0,126.0,58.0
zestyping,1362130252.0,41.0,9.0
zfrenchee,1375663821.0,83.0,14.0
zgoldberg,1321252390.0,22.0,10.0
zigzigzag,1470931951.0,1385.0,572.0
zillyhome,1470735140.0,5.0,5.0
zivagolee,1509560397.0,1.0,1.0
zkhalique,1284344641.0,597.0,421.0
zstiefler,1401759414.0,22.0,13.0
zutronics,1322395282.0,4.0,1.0
0verc00ked,1332868806.0,15.0,20.0
0x00000000,1483557723.0,208.0,30.0
0x4f3759df,1495036298.0,304.0,139.0
0x8BADF00D,1498963230.0,35.0,25.0
0xBABAD00C,1502486738.0,80.0,18.0
0xcafecafe,1449775632.0,59.0,28.0
0xcde4c3db,1440955179.0,2998.0,800.0
0xelectron,1469089054.0,8.0,11.0
1123581321,1328416616.0,1642.0,938.0
1187503962,1509496757.0,0.0,2.0
1ba9115454,1490108275.0,603.0,139.0
1propionyl,1471034575.0,253.0,32.0
201709User,1506337325.0,32.0,62.0
2845197541,1492827645.0,59.0,40.0
43224gg252,1496594663.0,147.0,90.0
5trokerac3,1405972049.0,467.0,83.0
7cupsoftea,1360383433.0,180.0,63.0
97-109-107,1335107632.0,33.0,75.0
AChamarthy,1503683952.0,2.0,3.0
AIMunchkin,1469126607.0,68.0,37.0
AaronFriel,1343062728.0,3469.0,379.0
AceJohnny2,1316559292.0,4796.0,996.0
Ace_Archer,1470839492.0,36.0,4.0
AdamsApple,1491237933.0,2.0,1.0
AdrienChey,1309126786.0,31.0,5.0
Akonkagva2,1499078868.0,4.0,2.0
AlexDanger,1331695442.0,474.0,157.0
AlexMiclau,1483456362.0,1.0,3.0
AmericanOP,1241372583.0,301.0,136.0
Anarch157a,1485176704.0,8.0,4.0
AndyKelley,1208312593.0,3722.0,874.0
AnuPrakash,1493824620.0,1.0,1.0
Apocryphon,1292377779.0,4420.0,2362.0
ArchReaper,1328427494.0,300.0,101.0
Aretecjobs,1490641164.0,2.0,5.0
AriaMinaei,1394388334.0,428.0,88.0
ArlenBales,1480628367.0,213.0,99.0
Ashish_J_S,1480054668.0,2.0,4.0
AsyncAwait,1428851234.0,2534.0,686.0
AugustoCAS,1491335003.0,1.0,2.0
AzzieElbab,1458000524.0,63.0,78.0
B1FF_PSUVM,1457125145.0,331.0,664.0
BatFastard,1393083908.0,1455.0,679.0
Bishonen88,1459205929.0,42.0,12.0
Blackthorn,1400303399.0,1576.0,518.0
Brajeshwar,1219467182.0,10876.0,1441.0
Bromskloss,1330218173.0,1118.0,726.0
Brotkrumen,1421850734.0,285.0,53.0
BryanBryce,1407873849.0,1.0,3.0
BuckRogers,1373343538.0,950.0,718.0
BucketSort,1462065124.0,611.0,95.0
BuddyLoans,1509553466.0,1.0,2.0
Burnstreet,1483450535.0,1.0,3.0
Buttons840,1346185513.0,1045.0,296.0
CDeGroot93,1512505236.0,4.0,1.0
CGamesPlay,1238688890.0,1427.0,438.0
CJefferson,1276873354.0,7245.0,1636.0
Callmenorm,1364084109.0,38.0,24.0
CamperBob2,1336344732.0,7018.0,4417.0
CatAtOcter,1504167149.0,1.0,2.0
Chai-T-Rex,1481862817.0,10.0,4.0
Chiba-City,1388210138.0,130.0,95.0
ChrisBland,1329235120.0,1191.0,152.0
Co_Reentry,1501697938.0,1.0,1.0
Coconutdog,1491085864.0,1.0,1.0
CodeSheikh,1417540063.0,354.0,201.0
CoinFalcon,1499145388.0,1.0,2.0
CrankyBear,1345645238.0,3424.0,1082.0
CrossWired,1304082062.0,57.0,27.0
CuriouslyC,1406729002.0,1515.0,748.0
CurtMonash,1330164126.0,1183.0,560.0
CyberThijs,1338541923.0,113.0,8.0
DCRichards,1462529090.0,36.0,18.0
Dabergcobo,1484954996.0,1.0,2.0
DalaiObama,1488051498.0,104.0,10.0
DanFeldman,1398140402.0,201.0,44.0
DanielDent,1412548493.0,438.0,189.0
DarkVision,1478293564.0,1.0,2.0
DarronWyke,1506439013.0,157.0,65.0
DataJunkie,1299269542.0,40.0,30.0
Datsundere,1361025255.0,71.0,160.0
DecoPerson,1372446301.0,35.0,24.0
DeepYogurt,1454367888.0,141.0,71.0
DesiLurker,1473467305.0,108.0,93.0
DigitalSea,1332031567.0,5420.0,1755.0
DoctorNick,1477683091.0,176.0,31.0
DomreiRoam,1265404730.0,129.0,87.0
DonHopkins,1397409739.0,5105.0,2417.0
DonaldFisk,1438703425.0,1178.0,666.0
DonkeyChan,1453966336.0,211.0,14.0
DoubleMalt,1347470038.0,1965.0,323.0
DrRobinson,1431357573.0,93.0,22.0
Dylan16807,1265294771.0,10526.0,7399.0
EasyTiger_,1453290881.0,350.0,64.0
EddieLomax,1281554373.0,5.0,9.0
Eduardo3rd,1315932563.0,632.0,140.0
EduardoNJF,1466511141.0,4.0,24.0
ElijahLynn,1407965580.0,424.0,246.0
EmilLondon,1364918049.0,83.0,38.0
Endocoders,1471435338.0,1.0,2.0
Ensorceled,1342928245.0,2845.0,676.0
ErikAugust,1353722867.0,1370.0,475.0
EthanSutin,1293133354.0,4.0,11.0
FDominicus,1457183295.0,0.0,3.0
Falkon1313,1349325309.0,617.0,188.0
Fenrisulfr,1487868721.0,12.0,3.0
FireRat666,1492593163.0,2.0,1.0
Firegarden,1377029856.0,83.0,55.0
ForFreedom,1350381605.0,1438.0,628.0
FrancoDiaz,1473723926.0,493.0,180.0
Fraztastic,1412570073.0,22.0,14.0
FridgeSeal,1490048906.0,292.0,113.0
FrozenVoid,1473223409.0,272.0,193.0
FruityCode,1484910485.0,1.0,2.0
GChevalier,1470004145.0,123.0,25.0
GistNoesis,1469185226.0,29.0,30.0
GnarfGnarf,1280155486.0,508.0,219.0
GolDDranks,1428910252.0,908.0,169.0
Graziano_M,1431471151.0,24.0,50.0
Hackathon1,1472657822.0,2.0,9.0
Hasknewbie,1399392948.0,844.0,161.0
HawkWilson,1456957512.0,2.0,9.0
HeavyStorm,1415812384.0,45.0,54.0
HelloNurse,1384416942.0,530.0,362.0
HenryBemis,1487944860.0,296.0,94.0
Hikikomori,1456837943.0,22.0,16.0
Hnrobert42,1440011315.0,237.0,87.0
Hotjar_Rec,1483379943.0,-1.0,12.0
Houshalter,1345660810.0,10062.0,4846.0
Hovertruck,1219787891.0,862.0,326.0
HugoDaniel,1332868122.0,1328.0,307.0
Hyperbolic,1501049250.0,69.0,10.0
IAmGraydon,1483653144.0,115.0,70.0
Imagenuity,1271194866.0,274.0,141.0
Immortalin,1409906526.0,1626.0,453.0
Impossible,1304135701.0,5721.0,1013.0
InTheArena,1400025044.0,378.0,107.0
Inversechi,1296756479.0,166.0,104.0
Iwan-Zotow,1510933523.0,-3.0,7.0
JBerryMedX,1488308168.0,2.0,2.0
JackMorgan,1317051887.0,563.0,299.0
JangoSteve,1253919486.0,3072.0,802.0
JeffPeters,1504320338.0,1.0,1.0
Jeff_Brown,1508367755.0,31.0,18.0
JensRantil,1345532769.0,495.0,106.0
JetSpiegel,1383615530.0,1177.0,1077.0
JimboOmega,1250887155.0,1047.0,315.0
JohnGoGoGo,1484073000.0,11.0,2.0
JohnHansen,1496674657.0,4.0,2.0
Johnythree,1406949519.0,272.0,116.0
Justyna3YD,1494330844.0,1.0,2.0
KTamasEnty,1343678781.0,11.0,15.0
KTastrophy,1364260907.0,1.0,6.0
KZeillmann,1432851598.0,490.0,61.0
Kametrixom,1484838643.0,24.0,15.0
KamogTechs,1507192395.0,2.0,16.0
Keeeeeeeks,1500526893.0,110.0,28.0
KennyCason,1308864925.0,538.0,212.0
KerryJones,1440995713.0,268.0,76.0
King-Aaron,1459755103.0,892.0,401.0
Klasiaster,1411681266.0,263.0,80.0
KuhlMensch,1417617434.0,44.0,42.0
